result_key,surface_power [wh],runtime [sec]
columns_40_c2s,841.0,64.67
columns_40_c2c,835.0,64.67
columns_40_c2m,12450.123,64.67
columns_45_a1,26322.23,0.02
columns_45_a2,14517.47,0.16
columns_45_a3,14517.47,1.29
columns_45_a4,14753.57,1.29
columns_45_b1,16484.93,1.08
columns_45_b2,15697.95,90.69
columns_45_c1s,841.0,1.28
columns_45_c1c,835.0,1.28
columns_45_c1m,12421.247999999992,1.28
columns_45_c1s,841.0,64.62
columns_45_c1c,835.0,64.62
columns_45_c1m,12421.247999999992,64.62
columns_45_c2s,841.0,1.15
columns_45_c2c,835.0,1.15
columns_45_c2m,12421.247999999992,1.15
columns_45_c2s,841.0,64.5
columns_45_c2c,835.0,64.5
columns_45_c2m,12421.247999999992,64.5
columns_50_a1,2547.99,0.02
columns_50_a2,14435.11,0.16
columns_50_a3,14435.11,1.34
columns_50_a4,13484.14,1.29
columns_50_b1,14435.11,1.08
columns_50_b2,14435.11,92.81
columns_50_c1s,501.0,1.64
columns_50_c1c,493.0,1.64
columns_50_c1m,10919.705999999998,1.64
columns_50_c1s,501.0,66.2
columns_50_c1c,493.0,66.2
columns_50_c1m,10919.705999999998,66.2
columns_50_c2s,501.0,1.16
columns_50_c2c,493.0,1.16
columns_50_c2m,10919.705999999998,1.16
columns_50_c2s,501.0,65.22
columns_50_c2c,493.0,65.22
columns_50_c2m,10919.705999999998,65.22
columns_55_a1,2388.43,0.02
columns_55_a2,10366.36,0.16
columns_55_a3,11961.95,1.3
columns_55_a4,12201.29,1.31
columns_55_b1,12360.84,1.09
columns_55_b2,13158.64,97.36
columns_55_c1s,246.0,1.43
columns_55_c1c,291.0,1.43
columns_55_c1m,9406.712000000003,1.43
columns_55_c1s,246.0,65.6
columns_55_c1c,291.0,65.6
columns_55_c1m,9406.712000000003,65.6
columns_55_c2s,246.0,1.16
columns_55_c2c,291.0,1.16
columns_55_c2m,9406.712000000003,1.16
columns_55_c2s,246.0,64.76
columns_55_c2c,291.0,64.76
columns_55_c2m,9406.712000000003,64.76
columns_60_a1,2234.02,0.02
columns_60_a2,10263.42,0.16
columns_60_a3,11869.3,1.3
columns_60_a4,10905.78,1.29
columns_60_b1,12270.77,1.08
columns_60_b2,11869.3,93.92
columns_60_c1s,263.0,1.28
columns_60_c1c,276.0,1.28
columns_60_c1m,9366.434000000001,1.28
columns_60_c1s,263.0,65.27
columns_60_c1c,276.0,65.27
columns_60_c1m,9366.434000000001,65.27
columns_60_c2s,263.0,1.16
columns_60_c2c,276.0,1.16
columns_60_c2m,9366.434000000001,1.16
columns_60_c2s,263.0,65.12
columns_60_c2c,276.0,65.12
columns_60_c2m,9366.434000000001,65.12
columns_65_a1,2084.77,0.02
columns_65_a2,10163.93,0.17
columns_65_a3,9356.01,1.32
columns_65_a4,9598.38,1.33
columns_65_b1,10163.93,1.09
columns_65_b2,10567.88,93.63
columns_65_c1s,249.0,1.32
columns_65_c1c,263.0,1.32
columns_65_c1m,7836.219999999995,1.32
columns_65_c1s,249.0,65.66
columns_65_c1c,263.0,65.66
columns_65_c1m,7836.219999999995,65.66
columns_65_c2s,249.0,1.16
columns_65_c2c,263.0,1.16
columns_65_c2m,7836.219999999995,1.16
columns_65_c2s,249.0,64.88
columns_65_c2c,263.0,64.88
columns_65_c2m,7836.219999999995,64.88
columns_70_a1,1940.69,0.02
columns_70_a2,6004.28,0.16
columns_70_a3,9255.15,1.3
columns_70_a4,8279.89,1.29
columns_70_b1,10067.87,1.08
columns_70_b2,9255.15,93.27
columns_70_c1s,234.0,1.27
columns_70_c1c,255.0,1.27
columns_70_c1m,7790.300000000003,1.27
columns_70_c1s,234.0,64.88
columns_70_c1c,255.0,64.88
columns_70_c1m,7790.300000000003,64.88
columns_70_c2s,234.0,1.15
columns_70_c2c,255.0,1.15
columns_70_c2m,7790.300000000003,1.15
columns_70_c2s,234.0,64.99
columns_70_c2c,255.0,64.99
columns_70_c2m,7790.300000000003,64.99
columns_75_a1,1801.76,0.02
columns_75_a2,5888.5,0.16
columns_75_a3,6705.85,1.31
columns_75_a4,6951.06,1.29
columns_75_b1,7931.87,1.08
columns_75_b2,7931.87,93.21
columns_75_c1s,230.0,1.28
columns_75_c1c,240.0,1.28
columns_75_c1m,6242.96399999999,1.28
columns_75_c1s,230.0,65.19
columns_75_c1c,240.0,65.19
columns_75_c1m,6242.96399999999,65.19
columns_75_c2s,230.0,1.16
columns_75_c2c,240.0,1.16
columns_75_c2m,6242.96399999999,1.16
columns_75_c2s,230.0,65.19
columns_75_c2c,240.0,65.19
columns_75_c2m,6242.96399999999,65.19
columns_80_a1,1667.99,0.02
columns_80_a2,5777.03,0.16
columns_80_a3,4133.41,1.32
columns_80_a4,5612.67,1.31
columns_80_b1,5777.03,1.12
columns_80_b2,6598.84,95.11
columns_80_c1s,224.0,1.45
columns_80_c1c,224.0,1.45
columns_80_c1m,4684.287999999996,1.45
columns_80_c1s,224.0,65.71
columns_80_c1c,224.0,65.71
columns_80_c1m,4684.287999999996,65.71
columns_80_c2s,224.0,1.15
columns_80_c2c,224.0,1.15
columns_80_c2m,4684.287999999996,1.15
columns_80_c2s,224.0,64.99
columns_80_c2c,224.0,64.99
columns_80_c2m,4684.287999999996,64.99
columns_85_a1,1539.38,0.02
columns_85_a2,1539.38,0.16
columns_85_a3,4017.66,1.29
columns_85_a4,4265.49,1.29
columns_85_b1,5669.85,1.08
columns_85_b2,5256.8,91.95
columns_85_c1s,214.0,1.28
