result_key,surface_power [wh],runtime [sec]
circle_25_a1,3796.98,0.02
circle_25_a2,18813.81,0.16
circle_25_a3,19114.15,1.3
circle_25_a4,21141.42,1.3
circle_25_b1,19886.44,1.09
circle_25_b2,20659.63,99.77
circle_30_a1,3658.79,0.02
circle_30_a2,18767.75,0.16
circle_30_a3,18163.39,1.31
circle_30_a4,19976.47,1.31
circle_30_b1,19846.96,1.1
circle_30_b2,19505.21,110.76
circle_35_a1,3520.6,0.02
circle_35_a2,14921.41,0.16
circle_35_a3,17201.58,1.32
circle_35_a4,18797.69,1.31
circle_35_b1,18721.69,1.09
circle_35_b2,18309.99,105.17
circle_40_a1,3382.41,0.02
circle_40_a2,14852.32,0.16
circle_40_a3,15769.91,1.46
circle_40_a4,17375.7,1.36
circle_40_b1,17037.06,1.09
circle_40_b2,17123.54,103.81
circle_45_a1,3198.8,0.02
circle_45_a2,10906.61,0.16
circle_45_a3,15222.98,1.29
circle_45_a4,16379.15,1.29
circle_45_b1,15861.63,1.07
circle_45_b2,15866.22,95.19
circle_50_a1,2932.09,0.02
circle_50_a2,10728.8,0.16
circle_50_a3,13223.75,1.28
circle_50_a4,15328.86,1.28
circle_50_b1,14627.16,1.07
circle_50_b2,14613.23,93.39
circle_55_a1,2676.98,0.02
circle_55_a2,10558.73,0.17
circle_55_a3,11662.18,1.33
circle_55_a4,13553.8,1.33
circle_55_b1,13936.62,1.12
circle_55_b2,13284.5,105.99
circle_60_a1,2433.49,0.02
circle_60_a2,10396.4,0.16
circle_60_a3,10077.89,1.31
circle_60_a4,12227.87,1.3
circle_60_b1,11533.96,1.11
circle_60_b2,11932.11,105.1
circle_65_a1,2201.6,0.02
circle_65_a2,6221.71,0.16
circle_65_a3,8955.38,1.34
circle_65_a4,10643.82,1.34
circle_65_b1,10241.81,1.09
circle_65_b2,10591.18,99.87
circle_70_a1,1981.33,0.02
circle_70_a2,6038.14,0.16
circle_70_a3,7336.33,1.3
circle_70_a4,9527.01,1.29
circle_70_b1,10094.96,1.08
circle_70_b2,9278.77,98.78
circle_75_a1,1772.66,0.02
circle_75_a2,1772.66,0.16
circle_75_a3,5700.59,1.29
circle_75_a4,7910.05,1.29
circle_75_b1,7033.28,1.08
circle_75_b2,7871.08,97.07
circle_80_a1,1575.6,0.02
circle_80_a2,1575.6,0.17
circle_80_a3,4050.26,1.34
circle_80_a4,6772.39,1.3
circle_80_b1,5700.03,1.08
circle_80_b2,6421.81,93.58
circle_85_a1,1390.14,0.02
circle_85_a2,1390.14,0.16
circle_85_a3,2886.07,1.31
circle_85_a4,5129.96,1.31
circle_85_b1,5545.49,1.1
circle_85_b2,5164.58,102.31
circle_90_a1,1216.3,0.02
circle_90_a2,1216.3,0.16
circle_90_a3,1216.3,1.29
circle_90_a4,4229.01,1.29
circle_90_b1,3607.34,1.08
circle_90_b2,3736.85,95.01
ellipse_10_a1,4106.27,0.02
ellipse_10_a2,22619.57,0.16
ellipse_10_a3,24100.63,1.33
ellipse_10_a4,24767.11,1.3
ellipse_10_b1,23677.47,1.08
ellipse_10_b2,24016.88,97.63
ellipse_15_a1,4007.56,0.02
ellipse_15_a2,22603.12,0.16
ellipse_15_a3,22305.59,1.29
ellipse_15_a4,23198.18,1.29
ellipse_15_b1,22603.12,1.08
ellipse_15_b2,22913.04,97.7
ellipse_20_a1,3908.85,0.02
ellipse_20_a2,18851.1,0.16
ellipse_20_a3,20494.75,1.29
ellipse_20_a4,22063.69,1.42
ellipse_20_b1,22053.01,1.26
ellipse_20_b2,21781.74,99.13
ellipse_25_a1,3810.14,0.02
ellipse_25_a2,18818.2,0.16
ellipse_25_a3,19568.6,1.3
ellipse_25_a4,21144.45,1.29
ellipse_25_b1,19890.2,1.08
ellipse_25_b2,20555.74,96.56
ellipse_30_a1,3711.43,0.02
ellipse_30_a2,18785.3,0.16
ellipse_30_a3,18634.56,1.3
ellipse_30_a4,19538.99,1.3
ellipse_30_b1,19862.0,1.09
ellipse_30_b2,19467.21,99.44
ellipse_35_a1,3612.73,0.02
ellipse_35_a2,14967.48,0.16
ellipse_35_a3,16784.24,1.29
ellipse_35_a4,18828.09,1.27
ellipse_35_b1,18211.69,1.07
