,X,Y,Z,X_v,Y_v,Z_v
58,2.62954521179,1.43770158291,3.44650864601,0.0,-1.0,0.0
59,2.62954521179,1.43770158291,3.9767408371,0.0,-1.0,0.0
60,2.62954521179,1.43770158291,4.50697302818,0.0,-1.0,0.0
61,2.62954521179,1.43770158291,5.03720498085,0.0,-1.0,0.0
62,2.62954521179,1.43770158291,5.56743717194,0.0,-1.0,0.0
63,2.62954521179,1.43770158291,6.09766936302,0.0,-1.0,0.0
64,2.62954521179,1.43770158291,6.62790131569,0.0,-1.0,0.0
65,3.1313419342,1.43770158291,0.265116065741,0.0,-1.0,0.0
66,3.1313419342,1.43770158291,0.795348197222,0.0,-1.0,0.0
67,3.1313419342,1.43770158291,1.3255802989,0.0,-1.0,0.0
68,3.1313419342,1.43770158291,1.85581243038,0.0,-1.0,0.0
69,3.1313419342,1.43770158291,2.38604450226,0.0,-1.0,0.0
70,3.1313419342,1.43770158291,2.91627657413,0.0,-1.0,0.0
71,3.1313419342,1.43770158291,3.44650864601,0.0,-1.0,0.0
72,3.1313419342,1.43770158291,3.9767408371,0.0,-1.0,0.0
73,3.1313419342,1.43770158291,4.50697302818,0.0,-1.0,0.0
74,3.1313419342,1.43770158291,5.03720498085,0.0,-1.0,0.0
75,3.1313419342,1.43770158291,5.56743717194,0.0,-1.0,0.0
76,3.1313419342,1.43770158291,6.09766936302,0.0,-1.0,0.0
77,3.1313419342,1.43770158291,6.62790131569,0.0,-1.0,0.0
78,3.63313865662,1.43770158291,0.265116065741,0.0,-1.0,0.0
79,3.63313865662,1.43770158291,0.795348197222,0.0,-1.0,0.0
80,3.63313865662,1.43770158291,1.3255802989,0.0,-1.0,0.0
81,3.63313865662,1.43770158291,1.85581243038,0.0,-1.0,0.0
82,3.63313865662,1.43770158291,2.38604450226,0.0,-1.0,0.0
83,3.63313865662,1.43770158291,2.91627657413,0.0,-1.0,0.0
84,3.63313865662,1.43770158291,3.44650864601,0.0,-1.0,0.0
85,3.63313865662,1.43770158291,3.9767408371,0.0,-1.0,0.0
86,3.63313865662,1.43770158291,4.50697302818,0.0,-1.0,0.0
87,3.63313865662,1.43770158291,5.03720498085,0.0,-1.0,0.0
88,3.63313865662,1.43770158291,5.56743717194,0.0,-1.0,0.0
89,3.63313865662,1.43770158291,6.09766936302,0.0,-1.0,0.0
90,3.63313865662,1.43770158291,6.62790131569,0.0,-1.0,0.0
