result_key,surface_power [wh],runtime [sec]
columns_20_c1s,2917.0,1.27
columns_20_c1c,2427.0,1.27
columns_20_c1m,3310.2439999999983,1.27
columns_20_c2s,2753.0,64.2
columns_20_c2c,2413.0,64.2
columns_20_c2m,2844.7179999999985,64.2
columns_25_a1,5264.45,0.02
columns_25_a2,4409.86,0.16
columns_25_a3,3726.19,1.28
columns_25_a4,3777.47,1.3
columns_25_b1,3982.57,1.07
columns_25_b2,3982.57,79.68
columns_25_c1s,2436.0,1.24
columns_25_c1c,1979.0,1.24
columns_25_c1m,3022.194,1.24
columns_25_c2s,2632.0,64.18
columns_25_c2c,2293.0,64.18
columns_25_c2m,2768.9749999999985,64.18
columns_30_a1,5264.45,0.02
columns_30_a2,3552.8,0.16
columns_30_a3,3723.97,1.28
columns_30_a4,3518.57,1.29
columns_30_b1,3552.8,1.07
columns_30_b2,3723.97,77.82
columns_30_c1s,1958.0,1.2
columns_30_c1c,1542.0,1.2
columns_30_c1m,2731.959999999999,1.2
columns_30_c2s,2362.0,63.87
columns_30_c2c,1995.0,63.87
columns_30_c2m,2461.384999999999,63.87
columns_35_a1,5264.45,0.02
columns_35_a2,3550.4,0.16
columns_35_a3,3207.59,1.27
columns_35_a4,3259.01,1.26
columns_35_b1,3550.4,1.06
columns_35_b2,3464.7,76.49
columns_35_c1s,1958.0,1.19
columns_35_c1c,1540.0,1.19
columns_35_c1m,2727.6199999999985,1.19
columns_35_c2s,2242.0,63.88
columns_35_c2c,1926.0,63.88
columns_35_c2m,2369.129,63.88
columns_40_a1,5264.45,0.02
columns_40_a2,3548.07,0.16
columns_40_a3,3204.79,1.28
columns_40_a4,2998.82,1.29
columns_40_b1,3118.97,1.07
columns_40_b2,3204.79,77.74
columns_40_c1s,1481.0,1.28
columns_40_c1c,1099.0,1.28
columns_40_c1m,2434.166,1.28
columns_40_c2s,2033.0,63.85
columns_40_c2c,1642.0,63.85
columns_40_c2m,2193.415,63.85
columns_45_a1,5264.45,0.02
columns_45_a2,2686.48,0.16
columns_45_a3,2686.48,1.27
columns_45_a4,2738.04,1.26
columns_45_b1,3116.14,1.06
columns_45_b2,2944.27,78.26
columns_45_c1s,1481.0,1.23
columns_45_c1c,1099.0,1.23
columns_45_c1m,2428.7760000000003,1.23
columns_45_c2s,1853.0,63.9
columns_45_c2c,1585.0,63.9
columns_45_c2m,2012.160000000001,63.9
columns_50_a1,101.92,0.02
columns_50_a2,2683.18,0.16
columns_50_a3,2683.18,1.27
columns_50_a4,2476.68,1.26
columns_50_b1,2683.18,1.06
columns_50_b2,2683.18,76.56
columns_50_c1s,1008.9999999999999,1.17
columns_50_c1c,724.0,1.17
columns_50_c1m,2132.088000000002,1.17
columns_50_c2s,1731.0,63.65
columns_50_c2c,1488.0,63.65
columns_50_c2m,1922.1940000000016,63.65
columns_55_a1,95.54,0.02
columns_55_a2,1818.51,0.16
columns_55_a3,2163.1,1.27
columns_55_a4,2214.79,1.3
columns_55_b1,2249.25,1.06
columns_55_b2,2421.55,77.74
columns_55_c1s,597.0,1.21
columns_55_c1c,372.0,1.21
columns_55_c1m,1833.2930000000017,1.21
columns_55_c2s,1462.0,63.82
columns_55_c2c,1227.0,63.82
columns_55_c2m,1657.146000000001,63.82
columns_60_a1,89.36,0.02
columns_60_a2,1814.39,0.16
columns_60_a3,2159.39,1.27
columns_60_a4,1952.39,1.27
columns_60_b1,2245.65,1.07
columns_60_b2,2159.39,78.49
columns_60_c1s,608.0,1.25
columns_60_c1c,371.0,1.25
columns_60_c1m,1825.7960000000012,1.25
columns_60_c2s,1341.0,63.67
columns_60_c2c,1073.0,63.67
columns_60_c2m,1564.006000000001,63.67
columns_65_a1,83.39,0.02
columns_65_a2,1810.41,0.16
columns_65_a3,1637.71,1.27
columns_65_a4,1689.52,1.27
columns_65_b1,1810.41,1.06
columns_65_b2,1896.76,76.06
columns_65_c1s,445.0,1.14
columns_65_c1c,276.0,1.14
